ship_to,bill_no,date,terms_of_payment,state,grand_total,created_at,invoice_id,customer_id,cgst,sgst,igst,sub_total,total_quantity,invoice_status
GAUTAM TRADING,26,2025-02-18,Credit 30 days,State,30090.00,2025-09-08 17:52:16.442104,004b5bfc-ff32-4d55-97b0-9f25dabf045b,46172f57-1b5f-4255-aa4f-eab9fe54ce91,2295,2295,0,25500,85,Due
KAMLESH READYMADE STORE,62,2025-06-08,Credit 30 days,State,95580.00,2025-09-08 18:05:22.554763,04492074-8a61-4902-a655-2dc21dbaba96,529d86da-5348-4f37-9935-9be0e55609e8,7290,7290,0,81000,270,Due
ASHAPURA READYMADE STORE,9,2025-08-28,30 Days,Interstate,38115.00,2025-09-07 21:03:43.350618,07a3720f-80eb-4d6e-9015-69650082d3d0,e042c237-f045-470d-996a-a257bcf12c76,0,0,1815,36300,110,Paid
BALAJI  HANDLOOM,53,2025-05-10,Cash,Interstate,19470.00,2025-09-08 18:04:13.843636,0a6aec69-ad2b-4fd0-ab0e-af847fa4f22f,3e899cc3-3c47-403b-b38c-bafe07498619,0,0,2970,16500,55,Due
KAMAL READYMADE STORE,42,2025-04-07,Credit 30 days,Interstate,30680.00,2025-09-08 18:02:25.533941,144f1dad-5929-4619-8807-556f3e3855f1,2033deaf-05d4-4834-abf2-720f78d1a0e8,0,0,4680,26000,65,Due
BOMBAY SELECTION,28,2025-02-24,Cash,State,33630.00,2025-09-08 17:52:16.558113,16c5aae3-5ce7-49a3-82bd-d31052445b75,4c2c4a85-03e5-42e5-bcec-48b7c1b73327,2565,2565,0,28500,95,Due
JITUBHAI,16,2025-01-22,Credit 15 days,State,21240.00,2025-09-08 17:50:02.145826,1a26c46b-2d66-4ea9-8e26-98d3695935ec,2d39de88-aaa4-4256-b361-6d9640f9cc67,1620,1620,0,18000,60,Due
KUNAL TRADERS,24,2025-02-13,Credit 15 days,State,24780.00,2025-09-08 17:52:16.322897,1d7057cb-2252-412c-be6e-de31afbc623c,417360c1-22c5-42d3-9dd1-342f5f88596d,1890,1890,0,21000,70,Due
MILAN FASHION,70,2025-07-02,Cash,State,42480.00,2025-09-08 18:07:26.77255,1ef5a418-1f7f-414e-a635-b6fc387d81d8,61cb8de4-981d-400e-99ca-95c7eb614d98,3240,3240,0,36000,120,Due
RANJIT KUMAR,23,2025-02-10,Cash,Interstate,19470.00,2025-09-08 17:52:16.263136,26add712-a4bd-4885-9cc4-f6f7f54ade4f,41622d0f-07fb-4992-9e85-4bdff890bff9,0,0,2970,16500,55,Paid
SHREE MAHALAXMI READYMADE STORE,51,2025-05-04,Credit 15 days,Interstate,26550.00,2025-09-08 18:04:13.730251,26b34183-801e-4ff9-bc4a-5fa79f50e7ed,39a040a7-fd6f-4169-bf35-0dbae485019d,0,0,4050,22500,75,Due
SONIYA FASHION,72,2025-07-08,Credit 30 days,State,53100.00,2025-09-08 18:07:26.883519,30c52d32-bc87-4c4a-ba4f-60f451f045b2,67aeefb6-0d5d-4c4a-ba06-81848a4b4e58,4050,4050,0,45000,150,Due
CASH,77,2025-07-23,Cash,Interstate,56640.00,2025-09-08 18:07:27.146472,34e85cfa-5859-410f-9164-1ec8d6be8bd5,278d508c-0f1c-49b3-9c82-00ddb2b0a723,0,0,8640,48000,160,Paid
BALAJI  HANDLOOM,21,2025-02-04,Cash,Interstate,21240.00,2025-09-08 17:52:16.08186,387fe298-f9ff-4f17-a1d3-68fb7f2fef02,3e899cc3-3c47-403b-b38c-bafe07498619,0,0,3240,18000,60,Due
SUDHASAGAR SPINNERS INDIA PVT LTD,37,2025-03-21,Cash,Interstate,21240.00,2025-09-08 17:57:35.432243,39ff642b-642a-4b0a-8182-88908d622a5e,5c56b67b-172d-4643-8a87-99776741640a,0,0,3240,18000,45,Overdue
Alessandra Moen,52,2025-05-07,Credit 30 days,State,31860.00,2025-09-08 18:04:13.787901,3fcfa64a-a3f0-403a-80d4-c4cecbab246f,3affd8f8-8360-4da4-87f8-5d9dc3719160,2430,2430,0,27000,90,Due
HAJI FASHION,65,2025-06-17,Cash,Interstate,74340.00,2025-09-08 18:05:22.709841,436e816c-5ef8-47e2-9dc7-719b30775adb,56d2a576-0c54-458c-a4f6-204bdf88173f,0,0,11340,63000,210,Due
CASH,45,2025-04-16,Cash,State,33630.00,2025-09-08 18:02:25.724771,46d2b4b5-5578-4502-b9ef-dc62260743ab,278d508c-0f1c-49b3-9c82-00ddb2b0a723,2565,2565,0,28500,95,Due
GHANSHYAMBHAI,49,2025-04-28,Cash,State,30090.00,2025-09-08 18:02:25.933629,4aaaf018-8987-4150-b66b-69783f38135d,3783d722-0020-4e0a-a066-3cd720faf7ea,2295,2295,0,25500,85,Due
Alessandra Moen,20,2025-02-02,Credit 15 days,State,26550.00,2025-09-08 17:52:15.964711,4b6d837a-92d9-4670-ac8f-84b185f79350,3affd8f8-8360-4da4-87f8-5d9dc3719160,2025,2025,0,22500,75,Paid
KAMAL READYMADE STORE,74,2025-07-14,Credit 15 days,State,46020.00,2025-09-08 18:07:26.988409,4c3b860e-44fc-4923-b774-e47a46ba7e34,2033deaf-05d4-4834-abf2-720f78d1a0e8,3510,3510,0,39000,130,Due
KUM KUM EMPORIUM,14,2025-01-17,Credit 30 days,State,31860.00,2025-09-08 17:50:02.036965,50927e26-4e75-462c-9dcd-596ba9c3049c,28138793-d2b9-45af-9239-dc2988400789,2430,2430,0,27000,90,Paid
GAUTAM TRADING,58,2025-05-25,Credit 15 days,State,35400.00,2025-09-08 18:04:14.111647,5114cf9b-0c24-4488-ac5c-7d51ffcbb696,46172f57-1b5f-4255-aa4f-eab9fe54ce91,2700,2700,0,30000,100,Due
SUDHASAGAR SPINNERS INDIA PVT LTD,69,2025-06-29,Cash,Interstate,74340.00,2025-09-08 18:05:23.201982,5569ae00-6f26-4561-b1c7-afcf470a865e,5c56b67b-172d-4643-8a87-99776741640a,0,0,11340,63000,210,Due
KAMAL READYMADE STORE,10,2025-01-04,Credit 30 days,State,29500.00,2025-09-08 17:50:01.712211,569d779d-991e-4923-b3e5-dcc9ad8e4f70,2033deaf-05d4-4834-abf2-720f78d1a0e8,2250,2250,0,25000,60,Overdue
GHANSHYAMBHAI,17,2025-01-25,Cash,Interstate,23600.00,2025-09-08 17:50:02.196865,576ea148-ed7c-4843-b1db-f72523e34bcd,3783d722-0020-4e0a-a066-3cd720faf7ea,0,0,3600,20000,50,Due
SHRI HARIOM READYMADE STORE,29,2025-02-27,Credit 30 days,Interstate,20650.00,2025-09-08 17:52:16.608905,599196fd-84ae-4d0c-8c4d-ac3d9f8c4e89,5202c20d-9d9b-4e26-8a11-5cb7dd0bd3e6,0,0,3150,17500,50,Overdue
JAMBUSARIYA BROTHERS,68,2025-06-26,Credit 15 days,State,106200.00,2025-09-08 18:05:23.149643,5f7118fd-2259-4d83-afe8-81aa05721342,5a4b4a36-b5d3-4560-89e3-41582174a375,8100,8100,0,90000,300,Due
PARMESHWAR VASTRA BHANDAR,73,2025-07-11,Cash,Interstate,56640.00,2025-09-08 18:07:26.936525,6065edd5-1770-42bb-b147-3fc6a869c050,67f81882-19ab-4d0d-8c25-91a13524e502,0,0,8640,48000,160,Due
GURUKRUPA TRADERS,31,2025-03-05,Credit 15 days,Interstate,23600.00,2025-09-08 17:57:35.060131,6375e13c-a0b8-4283-ad10-9ba9c60b1621,53b2b40a-1997-4281-831c-e090849dd3a5,0,0,3600,20000,50,Due
GURUKRUPA TRADERS,63,2025-06-11,Cash,Interstate,92040.00,2025-09-08 18:05:22.606704,64306eea-50fd-472b-a24c-37d4cfb31318,53b2b40a-1997-4281-831c-e090849dd3a5,0,0,14040,78000,195,Due
"RAJNANDNI READYMADE ",100,2025-10-01,30 Days,Interstate,210.00,2025-09-08 18:19:31.97013,650b1034-ec8b-4a8b-8468-5367cf832576,036c7e71-485e-426c-8298-61d864396bd1,0,0,10,200,10,Due
BOMBAY SELECTION,60,2025-06-02,Cash,State,63720.00,2025-09-08 18:05:22.222862,67229c25-589e-45d6-b9ca-584ece80254e,4c2c4a85-03e5-42e5-bcec-48b7c1b73327,4860,4860,0,54000,180,Due
SAIBABA APPARELS,71,2025-07-05,Credit 15 days,Interstate,49560.00,2025-09-08 18:07:26.828348,673c6e9a-668e-4d3d-8257-d5f66d5e7ec3,63ff2a42-b70d-4009-896f-fd57a5d47aa8,0,0,7560,42000,140,Due
SAIBABA  APPARELS,39,2025-03-29,Cash,Interstate,24780.00,2025-09-08 17:57:35.539891,6d74168d-0dba-47f9-94cd-a5953e06fc84,63ff2a42-b70d-4009-896f-fd57a5d47aa8,0,0,3780,21000,70,Paid
GURUNANAK DRESSES,75,2025-07-17,Cash,Interstate,42480.00,2025-09-08 18:07:27.04055,6dc2da0e-ce1e-4844-8543-deda217b92c8,2217efe3-458e-4f6f-b7da-30fcefaae3a5,0,0,6480,36000,120,Paid
SHREE MAHALAXMI READYMADE STORE,19,2025-01-30,Credit 15 days,Interstate,18880.00,2025-09-08 17:50:02.332844,6fdc17c6-d421-4dae-971a-a65c9c95d95f,39a040a7-fd6f-4169-bf35-0dbae485019d,0,0,2880,16000,40,Due
Rajiv Lalwani Test,101,2025-10-14,30 Days,Interstate,2183.00,2025-09-09 05:31:36.067663,705899e9-1c34-402d-a8c1-ee92756760c4,a11288fd-a0f5-43df-8998-b2cccb51cca0,0,0,103.95,2079,9,Paid
JAMBUSARIYA BROTHERS,36,2025-03-18,Credit 15 days,State,28320.00,2025-09-08 17:57:35.380876,71d0c71e-e1bc-4164-ba8f-0138305db32b,5a4b4a36-b5d3-4560-89e3-41582174a375,2160,2160,0,24000,80,Due
HARI KAILASH READYMADE,25,2025-02-15,Cash,Interstate,23600.00,2025-09-08 17:52:16.390921,752a07a4-f82d-453c-a067-5183bf9aa9ac,449fdd0e-f3b5-4e5a-82ff-c4bdfe0d5cbc,0,0,3600,20000,50,Overdue
CASH,13,2025-01-14,Cash,Interstate,16992.00,2025-09-08 17:50:01.981934,774cbb47-786c-4d14-a0a6-559605f92f81,278d508c-0f1c-49b3-9c82-00ddb2b0a723,0,0,2592,14400,48,Due
PARMESHWAR VASTRA BHANDAR,41,2025-04-04,Cash,State,26550.00,2025-09-08 18:02:25.437024,7a0aca9b-36e3-496b-85f3-3f3e1f2e0aa3,67f81882-19ab-4d0d-8c25-91a13524e502,2025,2025,0,22500,75,Due
VINAYAK SAREE CENTRE,35,2025-03-15,Cash,Interstate,19470.00,2025-09-08 17:57:35.328758,80c7df33-fb58-4d5a-851b-338c9079b37e,57f6cb32-f52d-4a71-b18e-6b906f399382,0,0,2970,16500,55,Paid
RUSHAB GARMENT,34,2025-03-12,Credit 30 days,State,31860.00,2025-09-08 17:57:35.275168,823c7b5f-aa3d-4f32-9c75-5129ebf8e002,57ba13f1-4595-4009-a3c0-42e85e9a59b4,2430,2430,0,27000,90,Paid
KUNAL TRADERS,56,2025-05-19,Credit 30 days,State,33630.00,2025-09-08 18:04:14.004999,91bc26c3-cc6d-4465-afd7-8baa448687da,417360c1-22c5-42d3-9dd1-342f5f88596d,2565,2565,0,28500,95,Due
NATVARLAL CHUNILAL,76,2025-07-20,Credit 30 days,State,49560.00,2025-09-08 18:07:27.09238,922c33b3-76ed-4b1d-b0d3-a6b777606922,236b695f-4f7d-4654-9eb2-ef8a321ef990,3780,3780,0,42000,140,Due
NATRAJ READYMADE,22,2025-02-07,Credit 30 days,State,31860.00,2025-09-08 17:52:16.171773,947aa1fd-0cfa-4996-8aea-0355686ce8b3,411e7c34-37e6-4df7-a929-5b69fe4391ed,2430,2430,0,27000,90,Overdue
KAMLESH READYMADE STORE,30,2025-03-03,Cash,State,21240.00,2025-09-08 17:57:34.935789,95424dd5-1614-4ed5-8bd3-a0fea14902d2,529d86da-5348-4f37-9935-9be0e55609e8,1620,1620,0,18000,60,Due
BHAVIKA SAREE CENTER,2,2025-09-25,30 Days,State,33810.00,2025-09-07 00:00:00,97323c80-3dee-4beb-aaf8-0bc0394681c1,c5a8a008-11ad-4afa-ab39-0b7ce7928f24,805,805,0,32200,399,Due
KUM KUM EMPORIUM,78,2025-07-26,Credit 15 days,State,53100.00,2025-09-08 18:07:27.201529,9c0ae16e-7c58-4cac-ad41-dfe9aa408854,28138793-d2b9-45af-9239-dc2988400789,4050,4050,0,45000,150,Due
RUSHAB GARMENT,66,2025-06-20,Credit 30 days,State,100890.00,2025-09-08 18:05:22.761767,a800f262-ca04-4a95-b6ea-347a155f7964,57ba13f1-4595-4009-a3c0-42e85e9a59b4,7695,7695,0,85500,285,Due
Rahul Sharma,50,2025-05-02,Cash,State,21240.00,2025-09-08 18:04:13.66696,b47bcac6-c467-47d7-85d7-602ffd837502,382b7a65-502c-479d-9128-b48836d3aa54,1620,1620,0,18000,60,Due
JITUBHAI,48,2025-04-25,Credit 15 days,Interstate,21240.00,2025-09-08 18:02:25.882612,b6a5ced0-fa79-4ec0-b796-6563c6407265,2d39de88-aaa4-4256-b361-6d9640f9cc67,0,0,3240,18000,60,Due
MUKESH TRADERS,15,2025-01-20,30 Days,Interstate,81375.00,2025-09-08 17:50:02.091031,b7981766-9437-4a64-a4c8-ff7c055cfc6c,288dbec6-b72b-4799-ab4c-21f4ba827306,0,0,3875,77500,25,Due
NEW SR TRADERS,64,2025-06-14,Credit 15 days,State,95580.00,2025-09-08 18:05:22.656846,b8fb4dac-c370-49d7-8fcf-7b956290a8b2,544601ab-dd49-484b-88fc-93f2997e0946,7290,7290,0,81000,270,Due
KUM KUM EMPORIUM,46,2025-04-19,Credit 30 days,Interstate,18880.00,2025-09-08 18:02:25.775808,b9c0c262-06f6-4678-a22a-ea68dfa87ad6,28138793-d2b9-45af-9239-dc2988400789,0,0,2880,16000,40,Paid
SHRI HARIOM READYMADE STORE,61,2025-06-05,Credit 15 days,Interstate,79650.00,2025-09-08 18:05:22.453734,bbb1c1db-ba11-427b-93f2-f64b7f0e11b8,5202c20d-9d9b-4e26-8a11-5cb7dd0bd3e6,0,0,12150,67500,225,Due
Rajiv Lalwani Test,5,2025-08-15,30 Days,Interstate,41580.00,2025-09-08 17:36:24.104883,c0604d27-c674-47f0-8a56-5c12c4df104a,a11288fd-a0f5-43df-8998-b2cccb51cca0,0,0,1980,39600,120,Paid
Rajivvvv,21311,2026-03-16,30 Days,State,105.00,2026-03-01 19:26:28.633612,c1e3e325-c5f6-4e15-9715-8fd4b2e2b814,,,,,,,Due
EVERGREEN CLOTH CENTER,3,2025-09-26,30 Days,State,39155.00,2025-09-07 20:35:09.703426,c1fc0593-9021-4176-8431-053c2917264a,88593def-87bb-495a-b717-b7ee87c1cd4d,932.25,932.25,0,37290,113,Paid
