quantity,price,total,item_name,items_id,invoice_id,hsn
70,300.00,21000.00,Kids Wear,0128a9fe-fe6c-4d9a-9231-b1127a109fc4,922c33b3-76ed-4b1d-b0d3-a6b777606922,6209
45,300.00,13500.00,Kids Wear,0277b64a-a776-427c-ba68-baf67c3100e3,46d2b4b5-5578-4502-b9ef-dc62260743ab,6209
110,330.00,36300.00,Shirt,03d3b6d3-cad8-4d22-aabe-fbdb9d8d8584,07a3720f-80eb-4d6e-9015-69650082d3d0,HSN-23
35,300.00,10500.00,Kurta,05211f2e-95f1-480c-ad01-cbf7df07bb80,4b6d837a-92d9-4670-ac8f-84b185f79350,6211
50,300.00,15000.00,Saree,07a39aab-b111-4faa-90aa-9c7aedf79ce1,d6dbf219-c5fa-4a07-b87b-c97594399b68,6204
100,300.00,30000.00,Kurta,08d6c7cc-7b58-4be8-bf48-f0ef2576360e,6065edd5-1770-42bb-b147-3fc6a869c050,6211
40,400.00,16000.00,Cotton Shirt,0a79e750-cb13-444a-9a11-a280edbae1e4,569d779d-991e-4923-b3e5-dcc9ad8e4f70,6105
30,400.00,12000.00,Saree,0a9b4fcc-239a-451f-9e0e-2d8bc014fc30,d31154d8-e3a8-40a9-9090-383a0d8fd587,6204
30,200.00,6000.00,T-Shirt,0f1772ed-9519-4b68-81ce-272e1a44f331,1d7057cb-2252-412c-be6e-de31afbc623c,6109
45,300.00,13500.00,Cotton Shirt,10f09ec9-fba4-4c58-814d-ec51d0b70432,004b5bfc-ff32-4d55-97b0-9f25dabf045b,6105
20,350.00,7000.00,Kurta,17c64ae8-5b03-4383-ac89-906aa0aeecd6,599196fd-84ae-4d0c-8c4d-ac3d9f8c4e89,6211
25,300.00,7500.00,T-Shirt,180d12c5-7f18-4ed1-8c33-590e3c82665c,0a6aec69-ad2b-4fd0-ab0e-af847fa4f22f,6109
50,300.00,15000.00,Cotton Shirt,19623636-a0d9-40b3-a1f6-ac94ff98456a,823c7b5f-aa3d-4f32-9c75-5129ebf8e002,6105
30,400.00,12000.00,Saree,1a0ccd5a-4ce2-4b9c-b3f7-bb40282accac,c9f24a01-5716-4a3a-aea3-ef9d51c90b40,6204
30,300.00,9000.00,Kurta,1ea4f69b-939d-4821-a952-80b1e5679076,95424dd5-1614-4ed5-8bd3-a0fea14902d2,6211
40,300.00,12000.00,Kids Wear,1eac5939-4bd9-4fd6-80ac-59a717e2a3cd,71d0c71e-e1bc-4164-ba8f-0138305db32b,6209
120,300.00,36000.00,Jeans,203e8284-c5c5-4119-8487-51e1d9845669,5569ae00-6f26-4561-b1c7-afcf470a865e,6203
30,400.00,12000.00,Saree,2187cc52-676f-44fc-8ea6-e5ec49b41630,752a07a4-f82d-453c-a067-5183bf9aa9ac,6204
30,300.00,9000.00,Kids Wear,21d8c290-f211-41a1-a0e4-375c310c4348,ea572662-824d-484f-8540-3200c74a3511,6209
40,300.00,12000.00,Kurta,2527b6e7-93d6-4d1c-8912-0f0e50743091,3fcfa64a-a3f0-403a-80d4-c4cecbab246f,6211
9,231.00,2079.00,Pent,259ea033-3878-4a66-a885-7fb2ddddbf41,705899e9-1c34-402d-a8c1-ee92756760c4,HSN-1
20,450.00,9000.00,Jeans,2944c5aa-b2e7-489d-bd46-1890405dd137,569d779d-991e-4923-b3e5-dcc9ad8e4f70,6203
30,400.00,12000.00,T-Shirt,2acbf374-f8bd-4d55-bbcf-ccf6b23042e5,fa580dd3-8a24-4e34-94de-a08ddfac14fb,6109
80,300.00,24000.00,Saree,2c30d385-a792-462e-8702-e4dd9fb6b413,34e85cfa-5859-410f-9164-1ec8d6be8bd5,6204
90,300.00,27000.00,Saree,2e4b764c-fe55-4ff5-8f19-2e2d39cd6428,436e816c-5ef8-47e2-9dc7-719b30775adb,6204
30,350.00,10500.00,Jeans,2e6d6ae6-65dc-4103-b796-3a12334921c5,599196fd-84ae-4d0c-8c4d-ac3d9f8c4e89,6203
50,390.00,19500.00,Cotton Shirt,30295f05-88c8-4e12-8d18-5e1468e995b7,16c5aae3-5ce7-49a3-82bd-d31052445b75,6105
30,400.00,12000.00,Jeans,3034f6b8-0292-4829-9ba3-6246a349d91a,d31154d8-e3a8-40a9-9090-383a0d8fd587,6203
150,300.00,45000.00,Kurta,3142e8d4-354d-47e8-ba8c-b2ea389d5f61,a800f262-ca04-4a95-b6ea-347a155f7964,6211
30,300.00,9000.00,Jeans,32706425-b4a4-4b33-8541-710258e89858,0a6aec69-ad2b-4fd0-ab0e-af847fa4f22f,6203
30,200.00,6000.00,T-Shirt,33908745-9336-483e-a326-0133cbd6580e,80c7df33-fb58-4d5a-851b-338c9079b37e,6109
135,300.00,40500.00,Jeans,342b50d5-3d3e-4a54-8d0c-e6036b3fa5d8,a800f262-ca04-4a95-b6ea-347a155f7964,6203
100,23.00,2300.00,Pent,3453d5ed-1a6c-47d5-ad73-6ae595526b0b,d7a5b54d-3726-4123-b921-f225ee1280d2,HSN1
